Quote ID: 0, Asset Name: WhiteBIT Token, Asset Symbol: WBT
Quote ID: 1, Asset Name: Bitcoin, Asset Symbol: BTC
Quote ID: 2, Asset Name: Litecoin, Asset Symbol: LTC
Quote ID: 4, Asset Name: Terracoin, Asset Symbol: TRC
Quote ID: 5, Asset Name: Peercoin, Asset Symbol: PPC
Quote ID: 6, Asset Name: Novacoin, Asset Symbol: NVC
Quote ID: 8, Asset Name: Feathercoin, Asset Symbol: FTC
Quote ID: 10, Asset Name: Freicoin, Asset Symbol: FRC
Quote ID: 13, Asset Name: Ixcoin, Asset Symbol: IXC
Quote ID: 16, Asset Name: WorldCoin, Asset Symbol: WDC
Quote ID: 18, Asset Name: Digitalcoin, Asset Symbol: DGC
Quote ID: 25, Asset Name: Goldcoin, Asset Symbol: GLC
Quote ID: 35, Asset Name: Phoenixcoin, Asset Symbol: PXC
Quote ID: 42, Asset Name: Primecoin, Asset Symbol: XPM
Quote ID: 43, Asset Name: Anoncoin, Asset Symbol: ANC
Quote ID: 45, Asset Name: CasinoCoin, Asset Symbol: CSC
Quote ID: 52, Asset Name: XRP, Asset Symbol: XRP
Quote ID: 53, Asset Name: Quark, Asset Symbol: QRK
Quote ID: 56, Asset Name: Zetacoin, Asset Symbol: ZET
Quote ID: 61, Asset Name: TagCoin, Asset Symbol: TAG
Quote ID: 64, Asset Name: Public Index Network, Asset Symbol: PIN
Quote ID: 66, Asset Name: Nxt, Asset Symbol: NXT
Quote ID: 67, Asset Name: Unobtanium, Asset Symbol: UNO
Quote ID: 69, Asset Name: Datacoin, Asset Symbol: DTC
Quote ID: 72, Asset Name: Deutsche eMark, Asset Symbol: DEM
Quote ID: 74, Asset Name: Dogecoin, Asset Symbol: DOGE
Quote ID: 77, Asset Name: Diamond, Asset Symbol: DMD
Quote ID: 78, Asset Name: HoboNickels, Asset Symbol: HBN
Quote ID: 80, Asset Name: Orbitcoin, Asset Symbol: ORB
Quote ID: 83, Asset Name: Omni, Asset Symbol: OMNI
Quote ID: 87, Asset Name: FedoraCoin, Asset Symbol: TIPS
Quote ID: 90, Asset Name: Dimecoin, Asset Symbol: DIME
Quote ID: 93, Asset Name: 42-coin, Asset Symbol: 42
Quote ID: 99, Asset Name: Vertcoin, Asset Symbol: VTC
Quote ID: 109, Asset Name: DigiByte, Asset Symbol: DGB
Quote ID: 118, Asset Name: ReddCoin, Asset Symbol: RDD
Quote ID: 120, Asset Name: KatKoyn, Asset Symbol: KAT
Quote ID: 122, Asset Name: PotCoin, Asset Symbol: POT
Quote ID: 128, Asset Name: Maxcoin, Asset Symbol: MAX
Quote ID: 131, Asset Name: Dash, Asset Symbol: DASH
Quote ID: 132, Asset Name: Counterparty, Asset Symbol: XCP
Quote ID: 141, Asset Name: MintCoin, Asset Symbol: MINT
Quote ID: 145, Asset Name: DopeCoin, Asset Symbol: DOPE
Quote ID: 148, Asset Name: Auroracoin, Asset Symbol: AUR
Quote ID: 154, Asset Name: Marscoin, Asset Symbol: MARS
